Audrey Hepburn	award received	Academy Award for Best Actress	statement is subject of	26th Academy Awards
Audrey Hepburn	award received	Academy Award for Best Actress	for work	Roman Holiday
Audrey Hepburn	award received	star on Hollywood Walk of Fame	point in time	1980-02-08T00:00:00Z
Audrey Hepburn	image	http://commons.wikimedia.org/wiki/Special:FilePath/Audrey%20Hepburn%201956.jpg	media legend	Hepburn en 1956.
Audrey Hepburn	place of birth	Ixelles	located in the administrative territorial entity	Brussels-Capital Region
Audrey Hepburn	place of death	Tolochenaz	country	Switzerland
Audrey Hepburn	place of death	Tolochenaz	located in the administrative territorial entity	Canton of Vaud
Audrey Hepburn	sex or gender	female		
Audrey Hepburn	ISNI	0000 0001 1068 327X		
Audrey Hepburn	VIAF ID	66543141		
Audrey Hepburn	GND ID	118746731		
Audrey Hepburn	Library of Congress authority ID	n84066746		
Audrey Hepburn	mother	Ella van Heemstra		
Audrey Hepburn	spouse	Andrea Dotti	start time	1969-01-01T00:00:00Z
Audrey Hepburn	spouse	Andrea Dotti	end time	1982-01-01T00:00:00Z
Audrey Hepburn	spouse	Mel Ferrer	start time	1954-01-01T00:00:00Z
Audrey Hepburn	spouse	Mel Ferrer	end time	1968-01-01T00:00:00Z
Audrey Hepburn	country of citizenship	United Kingdom		
Audrey Hepburn	instance of	human		
Audrey Hepburn	position held	UNICEF Goodwill Ambassador		
Audrey Hepburn	NLR (Romania) ID	RUNLRAUTH77115586		
Audrey Hepburn	National Thesaurus for Author Names ID	74312022		
Audrey Hepburn	BIBSYS ID	90766433		
Audrey Hepburn	student of	Marie Rambert		
Audrey Hepburn	student of	Constance Collier		
Audrey Hepburn	student of	Sonia Gaskell		
Audrey Hepburn	student of	Felix Aylmer		
Audrey Hepburn	manner of death	natural causes		
Audrey Hepburn	NUKAT (WarsawU) authorities ID	n96402301		
Audrey Hepburn	Internet Broadway Database person ID	44925		
Audrey Hepburn	Internet Broadway Database person ID	80383		
Audrey Hepburn	NNDB people ID	933/000026855		
Audrey Hepburn	AlloCiné person ID	760		
Audrey Hepburn	CANTIC-ID	a10099669		
Audrey Hepburn	CONOR ID	9995107		
Audrey Hepburn	Munzinger IBA	5913		
Audrey Hepburn	Gran Enciclopèdia Catalana ID	32419		
Audrey Hepburn	People Australia ID	1106975		
Audrey Hepburn	described by source	1001 vrouwen in de 20ste eeuw		
Audrey Hepburn	described by source	1001 Vrouwen uit de Nederlandse geschiedenis	section, verse, paragraph, or clause	983
Audrey Hepburn	LNB ID	243714		
Audrey Hepburn	nominated for	Academy Award for Best Actress	statement is subject of	34th Academy Awards
Audrey Hepburn	nominated for	Academy Award for Best Actress	for work	Breakfast at Tiffany's
Audrey Hepburn	nominated for	Academy Award for Best Actress	statement is subject of	40th Academy Awards
Audrey Hepburn	nominated for	Academy Award for Best Actress	for work	Wait Until Dark
Audrey Hepburn	nominated for	Academy Award for Best Actress	statement is subject of	26th Academy Awards
Audrey Hepburn	nominated for	Academy Award for Best Actress	for work	Roman Holiday
Audrey Hepburn	nominated for	Academy Award for Best Actress	statement is subject of	32nd Academy Awards
Audrey Hepburn	nominated for	Academy Award for Best Actress	for work	The Nun's Story
Audrey Hepburn	nominated for	Academy Award for Best Actress	point in time	1954-01-01T00:00:00Z
Audrey Hepburn	nominated for	Academy Award for Best Actress	statement is subject of	27th Academy Awards
Audrey Hepburn	nominated for	Academy Award for Best Actress	for work	Sabrina
Audrey Hepburn	languages spoken, written or signed	English		
Audrey Hepburn	Oxford Dictionary of National Biography ID	52107		
Audrey Hepburn	Encyclopædia Britannica Online ID	biography/Audrey-Hepburn		
Audrey Hepburn	image of tombstone	http://commons.wikimedia.org/wiki/Special:FilePath/Grave%20of%20Audrey%20Hepburn%2C%20Tolochenaz%2C%20Switzerland%20-%2020080711.jpg		
Audrey Hepburn	birth name	Audrey Kathleen Ruston		
Audrey Hepburn	name in native language	Audrey Hepburn		
Audrey Hepburn	British Museum person-institution	147707		
Audrey Hepburn	GTAA ID	108968		
Audrey Hepburn	DVN ID	hepburn		
Audrey Hepburn	commemorative plaque image	http://commons.wikimedia.org/wiki/Special:FilePath/Hepburn.JPG		
Audrey Hepburn	commemorative plaque image	http://commons.wikimedia.org/wiki/Special:FilePath/Audrey%20Hepburn%20Hollywood%20Star.jpg		
Audrey Hepburn	National Portrait Gallery (London) person ID	mp16884		
Audrey Hepburn	genealogics.org person ID	I00009396		
Audrey Hepburn	Spotify artist ID	16eV2TebyEhqaDRFEZJ9h8		
Audrey Hepburn	Discogs artist ID	1130742		
Audrey Hepburn	number of children	2		
Audrey Hepburn	Facebook ID	35824635063		
Audrey Hepburn	AllMovie artist ID	p31869		
Audrey Hepburn	work period (start)	1948-01-01T00:00:00Z		
Audrey Hepburn	FAST ID	129498		
Audrey Hepburn	SFDb person ID	92617		
Audrey Hepburn	Elonet person ID	230800		
Audrey Hepburn	PORT person ID	9225		
Audrey Hepburn	Scope.dk person ID	19825		
Audrey Hepburn	Kinopoisk person ID	135681		
Audrey Hepburn	ČSFD person ID	811		
Audrey Hepburn	DNF person ID	74982		
Audrey Hepburn	Filmportal ID	27af66a40ea2424bba50fbf106d68010		
Audrey Hepburn	BnF ID	12360908f		
Audrey Hepburn	SUDOC authorities ID	32616694		
Audrey Hepburn	Great Russian Encyclopedia Online ID	4664397		
Audrey Hepburn	WikiTree person ID	Ruston-29		
Audrey Hepburn	TCM Movie Database person ID	85047		
Audrey Hepburn	Encyclopædia Universalis ID	audrey-hepburn		
Audrey Hepburn	NE.se ID	audrey-hepburn		
Audrey Hepburn	Quora topic ID	Audrey-Hepburn-actor		
Audrey Hepburn	SNAC Ark ID	w6bs10xb		
Audrey Hepburn	IMDb ID	nm0000030		
Audrey Hepburn	NDL Auth ID	620813		
Audrey Hepburn	Commons category	Audrey Hepburn		
Audrey Hepburn	wears	pixie cut		
Audrey Hepburn	wears	Black Givenchy dress of Audrey Hepburn		
Audrey Hepburn	NLA (Australia) ID	35830346		
Audrey Hepburn	MusicBrainz artist ID	7ddb6325-7022-4d30-a585-78a8eab631ab		
Audrey Hepburn	gravsted.dk ID	audreyhepburn		
Audrey Hepburn	Google Doodle	audrey-hepburns-85th-birthday		
Audrey Hepburn	partner	Robert Wolders	start time	1980-01-01T00:00:00Z
Audrey Hepburn	partner	Robert Wolders	end time	1993-01-01T00:00:00Z
Audrey Hepburn	The Peerage person ID	p47215.htm#i472150		
Audrey Hepburn	cinematografo name or company ID	55528		
Audrey Hepburn	American National Biography ID	1803394		
Audrey Hepburn	TMDb person ID	1932		
Audrey Hepburn	on focus list of Wikimedia project	Art+Feminism		
Audrey Hepburn	cause of death	colorectal cancer		
Audrey Hepburn	Find A Grave memorial ID	475		
Audrey Hepburn	Open Media Database person ID	1932		
Audrey Hepburn	Libris-URI	b8nqt6zv1vhxlwn		
Audrey Hepburn	date of birth	1929-05-04T00:00:00Z		
Audrey Hepburn	date of death	1993-01-20T00:00:00Z		
Audrey Hepburn	Muziekweb performer ID	M00000007516		
Audrey Hepburn	Freebase ID	/m/0dqcm		
Audrey Hepburn	Biografisch Portaal number	23359118		
Audrey Hepburn	NKCR AUT ID	jn20000700695		
Audrey Hepburn	family name	Hepburn		
Audrey Hepburn	given name	Audrey		
Audrey Hepburn	official website	http://audreyhepburn.org/		
Audrey Hepburn	official website	http://www.audreyhepburn.com		
Audrey Hepburn	SELIBR ID	252116		
Audrey Hepburn	topic's main category	Category:Audrey Hepburn		
Audrey Hepburn	Commons gallery	Audrey Hepburn		
Audrey Hepburn	BNE ID	XX967338
